,sentence,entity A,entity B
0,"That they could feed on what the tutor called “ the sick and the wicked , ” while sparing the innocent .","('they', 677)","('the sick and the wicked', 6338)"
1,"That they could feed on what the tutor called “ the sick and the wicked , ” while sparing the innocent .","('they', 677)","('the innocent', 5694)"
2,"That they could feed on what the tutor called “ the sick and the wicked , ” while sparing the innocent .","('the tutor', 5372)","('the sick and the wicked', 6338)"
3,Chuck then explains that Mike ’s speaking up actually did n’t protect us .,"('Chuck', 127)","('us', 4775)"
4,Chuck then explains that Mike ’s speaking up actually did n’t protect us .,"('Chuck', 127)","('Mike', 126)"
5,Chuck then explains that Mike ’s speaking up actually did n’t protect us .,"('Mike', 126)","('us', 4775)"
6,"“ They hated each other , ” said the nanny .","('They', 3079)","('each other', 478)"
7,"From the rim I could see my father and Jane on horseback , and a number of the slaves , including Toby , whose liberation once proposed by OGF had been denied for now by Plantation House .","('I', 0)","('my father', 902)"
8,"From the rim I could see my father and Jane on horseback , and a number of the slaves , including Toby , whose liberation once proposed by OGF had been denied for now by Plantation House .","('I', 0)","('Jane', 507)"
9,"From the rim I could see my father and Jane on horseback , and a number of the slaves , including Toby , whose liberation once proposed by OGF had been denied for now by Plantation House .","('I', 0)","('the slaves', 1341)"
10,"From the rim I could see my father and Jane on horseback , and a number of the slaves , including Toby , whose liberation once proposed by OGF had been denied for now by Plantation House .","('I', 0)","('Toby', 393)"
11,"According to legend , it was built by a townsman , Jack Builder , for the great Prior Philip ; and , when Jack died , Philip gave the town the right to use the mill in perpetuity . ”","('Jack Builder', 330)","('Philip', 393)"
12,"They are facing each other , inches apart .","('They', 858)","('each other', 358)"
13,"“ I guess I would n’t ground a twenty - two - year - old , ” I say .","('I', 0)","('a twenty - two - year - old', 3310)"
14,"“ Ryger sent us to interview the prisoner , ” he said casually .","('Ryger', 231)","('us', 4775)"
15,"“ Ryger sent us to interview the prisoner , ” he said casually .","('us', 4775)","('the prisoner', 4767)"
16,I met a man driving a wagon and asked him how far it was to The Kingdom and what direction .,"('I', 0)","('a man driving a wagon', 789)"
17,I met a man driving a wagon and asked him how far it was to The Kingdom and what direction .,"('I', 0)","('him', 789)"
18,“ Do you want her in the truck ? ”,"('you', 154)","('her', 171)"
19,"But it was also true that she had become slightly afraid of Tina and her needs , which lately seemed to Mrs. Beale rapacious and unreasonable and threatening to the rights of those around her .","('she', 176)","('Tina', 210)"
20,Am I unconsciously channel - surfing for the male weatherman ?,"('I', 0)","('the male weatherman', 823)"
21,"You could have had a lovely holiday in Fairyland and never met the Marquess , never worried yourself with local politics , had a romp with a few brownies and gone home with enough memories for a lifetime ’s worth of novels .","('You', 170)","('the Marquess', 2780)"
22,"You could have had a lovely holiday in Fairyland and never met the Marquess , never worried yourself with local politics , had a romp with a few brownies and gone home with enough memories for a lifetime ’s worth of novels .","('You', 170)","('a few brownies', 4011)"
23,"I love you , my sweet sister — Russ My hands shook as I refolded the letter and placed it back in the envelope .","('I', 0)","('you', 141)"
24,"After seven hours , they arrived at a bivouac not unlike the one Amates would take me to on the mouth of the Faretsj River .","('Amates', 604)","('me', 0)"
25,He tackled me as I was walking up the hill .,"('He', 398)","('me', 0)"
26,— I thought it was you what are you doing on Victor Emilio Estrada ?,"('I', 0)","('you', 5965)"
27,— I thought it was you what are you doing on Victor Emilio Estrada ?,"('you', 5965)","('Estrada', 599)"
28,"It was wrong conceptually , he told her .","('he', 350)","('her', 372)"
29,"Yet they spent less time attending school events and more time training their children at home : reading to them , quizzing them on their multiplication tables while they were cooking dinner , and pushing them to try harder .","('they', 3018)","('their children', 505)"
