,sentence,entity A,entity B
0,"That they could feed on what the tutor called “ the sick and the wicked , ” while sparing the innocent .","('they', 677)","('innocent', 5694)"
1,"That they could feed on what the tutor called “ the sick and the wicked , ” while sparing the innocent .","('tutor', 5372)","('wicked', 6338)"
2,Chuck then explains that Mike ’s speaking up actually did n’t protect us .,"('Chuck', 127)","('us', 4775)"
3,"“ They hated each other , ” said the nanny .","('They', 3079)","('other', 478)"
4,"From the rim I could see my father and Jane on horseback , and a number of the slaves , including Toby , whose liberation once proposed by OGF had been denied for now by Plantation House .","('I', 0)","('father', 902)"
5,"From the rim I could see my father and Jane on horseback , and a number of the slaves , including Toby , whose liberation once proposed by OGF had been denied for now by Plantation House .","('I', 0)","('Jane', 507)"
6,"From the rim I could see my father and Jane on horseback , and a number of the slaves , including Toby , whose liberation once proposed by OGF had been denied for now by Plantation House .","('I', 0)","('slaves', 1341)"
7,"They are facing each other , inches apart .","('They', 858)","('other', 358)"
8,"“ I guess I would n’t ground a twenty - two - year - old , ” I say .","('I', 0)","('old', 3310)"
9,"“ I guess I would n’t ground a twenty - two - year - old , ” I say .","('I', 0)","('old', 3310)"
10,"“ Ryger sent us to interview the prisoner , ” he said casually .","('Ryger', 231)","('us', 4775)"
11,"“ Ryger sent us to interview the prisoner , ” he said casually .","('Ryger', 231)","('prisoner', 4767)"
12,I met a man driving a wagon and asked him how far it was to The Kingdom and what direction .,"('I', 0)","('him', 789)"
13,“ Do you want her in the truck ? ”,"('you', 154)","('her', 171)"
14,"But it was also true that she had become slightly afraid of Tina and her needs , which lately seemed to Mrs. Beale rapacious and unreasonable and threatening to the rights of those around her .","('she', 176)","('Tina', 210)"
15,Am I unconsciously channel - surfing for the male weatherman ?,"('I', 0)","('weatherman', 823)"
16,"You could have had a lovely holiday in Fairyland and never met the Marquess , never worried yourself with local politics , had a romp with a few brownies and gone home with enough memories for a lifetime ’s worth of novels .","('You', 170)","('Marquess', 2780)"
17,"You could have had a lovely holiday in Fairyland and never met the Marquess , never worried yourself with local politics , had a romp with a few brownies and gone home with enough memories for a lifetime ’s worth of novels .","('You', 170)","('brownies', 4011)"
18,"I love you , my sweet sister — Russ My hands shook as I refolded the letter and placed it back in the envelope .","('I', 0)","('you', 141)"
19,"After seven hours , they arrived at a bivouac not unlike the one Amates would take me to on the mouth of the Faretsj River .","('Amates', 604)","('me', 0)"
20,He tackled me as I was walking up the hill .,"('He', 398)","('me', 0)"
21,— I thought it was you what are you doing on Victor Emilio Estrada ?,"('I', 0)","('you', 5965)"
22,— I thought it was you what are you doing on Victor Emilio Estrada ?,"('you', 5965)","('Estrada', 599)"
23,"It was wrong conceptually , he told her .","('he', 350)","('her', 372)"
24,"Yet they spent less time attending school events and more time training their children at home : reading to them , quizzing them on their multiplication tables while they were cooking dinner , and pushing them to try harder .","('they', 3018)","('them', 505)"
25,"If anything happens to you , Gia — ” The girl laughed , said , “ Stupido , ” as Danny started the snazzy car .","('girl', 3309)","('you', 1905)"
26,"Nor had he been invited to join the wedding guests for champagne in the state rooms ; instead , he had to make do with a cup of tea in the servants ’ hall .","('he', 3564)","('guests', 6705)"
27,"The founding fathers , including many southerners , agreed that human slavery did not belong in their republic , that it was immoral , dangerous , and should be put on a path toward extinction .","('fathers', 1321)","('southerners', 2592)"
28,I had even kept a browser opened to my Gmail account just so I ’d always be online and available to chat on Google Talk so they could see me .,"('they', 488)","('me', 0)"
29,"She apologized to the startled Johansson , who was busy rinsing an elderly woman ’s mouth , and asked if she could borrow the model of an old motorcycle from the bookcase behind him .","('She', 783)","('Johansson', 724)"
30,He called the creature Eve .,"('He', 112)","('Eve', 115)"
31,"In November of that year , the police moved in and began arresting protestors , many of whom were Haida elders who had insisted on being on the front lines .","('police', 4040)","('protestors', 6007)"
32,She had wanted to kiss him .,"('She', 291)","('him', 3484)"
33,"Though they call him Julian , he has three legacy names — the first for his father , the second for Cynthia ’s father , and finally for John ’s mother .","('they', 1799)","('him', 1800)"
34,"“ She covered him with leaves , ” Stocking said , “ and then took his gun , and left him with a heavy heart . ”","('She', 233)","('him', 1364)"
35,"“ I do n’t think a team member reports back to anyone , even if it ’s to the admiral , unless it ’s to investigate the team itself .","('I', 71)","('admiral', 195)"
36,“ Not a secret that I want you — seems to go both ways .,"('I', 74)","('you', 0)"
37,"Zim is totally wrong to bull - rush Pedro , but you ca n’t throw an old man on the ground .","('Zim', 606)","('Pedro', 479)"
38,"Zim is totally wrong to bull - rush Pedro , but you ca n’t throw an old man on the ground .","('Zim', 606)","('man', 3375)"
39,"Zim is totally wrong to bull - rush Pedro , but you ca n’t throw an old man on the ground .","('you', 3374)","('man', 3375)"
40,"T.J. flexed his fingers , as if he were having sympathetic pains from his father , Tyr , who ’d gotten his hand bitten off by Fenris Wolf .","('T.J.', 224)","('father', 978)"
41,"T.J. flexed his fingers , as if he were having sympathetic pains from his father , Tyr , who ’d gotten his hand bitten off by Fenris Wolf .","('he', 224)","('father', 978)"
42,"T.J. flexed his fingers , as if he were having sympathetic pains from his father , Tyr , who ’d gotten his hand bitten off by Fenris Wolf .","('his', 259)","('Wolf', 240)"
43,"When Darrin shifted behind her , dragging that abnormally large cock across her bottom , teasing her , she was forced to bite her lip to stop the resulting groan from escaping and giving the bastard the satisfaction of knowing that he was getting to her .","('Darrin', 20)","('her', 1762)"
44,"When Darrin shifted behind her , dragging that abnormally large cock across her bottom , teasing her , she was forced to bite her lip to stop the resulting groan from escaping and giving the bastard the satisfaction of knowing that he was getting to her .","('he', 20)","('her', 1762)"
45,"“ I ’m going to stop in Atlanta first , ” he told her instead .","('he', 5225)","('her', 674)"
46,"She gushed over me for a bit , making sure everything was ok .","('She', 75)","('me', 0)"
47,"“ You mean y’ all wanna justify what that pig did , ” Daddy says .","('You', 0)","('y’', 3727)"
48,"And what about the reading of poetry by others , which teachers keep telling us is so important , is in fact crucial to a poet ’s apprenticeship ?","('teachers', 982)","('us', 1156)"
49,She ’d lost David .,"('She', 385)","('David', 264)"
50,"The NME trailed the band from Amsterdam to Paris for the cover feature , and Cummins photographed them in front of the Eiffel Tower .","('Cummins', 687)","('them', 4566)"
51,"Mom ’s warning to my sister may seem harsh , but my family knows not to underestimate Alta ’s sleeping - in abilities .","('Mom', 57)","('sister', 331)"
52,"When he was on the road , Booth was as faithful as a traveling thespian could be , which is to say that he made love to other women but considered them second to Lucy in his heart .","('he', 314)","('women', 3184)"
53,"When he was on the road , Booth was as faithful as a traveling thespian could be , which is to say that he made love to other women but considered them second to Lucy in his heart .","('them', 3184)","('Lucy', 315)"
54,"And on the bridge , after we met the dinosaurs , the Dark Oculator fled not because she recognized me — but because she recognized you .","('Oculator', 1164)","('me', 0)"
55,"And on the bridge , after we met the dinosaurs , the Dark Oculator fled not because she recognized me — but because she recognized you .","('Oculator', 1164)","('you', 0)"
56,"And on the bridge , after we met the dinosaurs , the Dark Oculator fled not because she recognized me — but because she recognized you .","('she', 1164)","('me', 0)"
57,"And on the bridge , after we met the dinosaurs , the Dark Oculator fled not because she recognized me — but because she recognized you .","('she', 1164)","('you', 0)"
58,"Daniela asks , “ How could you do this to me ?","('you', 3028)","('me', 112)"
59,"Brandy laughed , and Hannah hushed her .","('Hannah', 28)","('her', 27)"
60,"When Dad knew whom Aunt Gloria was really trying to get away from and why he did n’t help her , I did n’t ask .","('he', 589)","('her', 775)"
61,"When Dad knew whom Aunt Gloria was really trying to get away from and why he did n’t help her , I did n’t ask .","('I', 0)","('her', 775)"
62,She was the seventh witness presented by the prosecution in two days but as far as I was concerned she was the only witness .,"('She', 259)","('witness', 516)"
63,She was the seventh witness presented by the prosecution in two days but as far as I was concerned she was the only witness .,"('she', 259)","('witness', 516)"
64,But Zwarst was n’t sure if his friend had raped her .,"('friend', 2202)","('her', 516)"
65,What I ’ve learned from Papaw Phil about never giving up is that there is nothing wrong with starting small if you just keep going .,"('I', 0)","('Phil', 54)"
66,"An elderly philologist told Glikman that only once before in his lifetime had he witnessed such a vast and insistent ovation : forty - four years previously , when Tchaikovsky had conducted the premiere of his Sixth Symphony .","('philologist', 1135)","('Glikman', 188)"
67,"With Iger ’s blessing , then , we set about drafting a document that came to be known as “ The Five Year Social Compact . ”","('we', 3809)","('Iger', 3829)"
68,Make sure the camera ’s working in the main booth so we can upload pictures to social media while we ’re interviewing him .,"('we', 145)","('him', 28)"
69,Make sure the camera ’s working in the main booth so we can upload pictures to social media while we ’re interviewing him .,"('we', 145)","('him', 28)"
70,"“ Roderick , I told you not to lean on that shelf !","('I', 846)","('you', 0)"
71,The only sadness to the trip was that Johnny Lucinge was not well enough to accompany her .,"('Lucinge', 4637)","('her', 25087)"
72,Let me talk to her .,"('me', 0)","('her', 160)"
73,"And I asked him if he was serious , and he said he was .","('I', 0)","('him', 97)"
74,"In the picture , Dylan is clowning around , hamming it up like a professional model , Zoolander - style .","('Dylan', 70)","('model', 4838)"
